rwa,education,childhood,gender,hand,family_size,age,test_time
3.15,University degree,Suburban,Male,Left,3,26,679
2.15,High school,"Urban (town, city)",Male,Right,1,20,227
1,High school,Rural (country side),Male,Left,4,20,217
3.9,High school,Suburban,Male,Right,2,17,347
2.95,Graduate degree,Rural (country side),Male,Left,3,48,370
3.8,Less than high school,Suburban,Female,Right,2,16,188
6.65,High school,Rural (country side),Female,Right,4,38,222
1.6,High school,Rural (country side),Female,Right,2,17,237
6.85,University degree,"Urban (town, city)",Female,Right,3,39,197
1,University degree,Suburban,Male,Right,2,19,133
3.7,High school,Suburban,Male,Right,2,26,217
1.95,Graduate degree,Rural (country side),Female,Right,5,51,168
1,Graduate degree,"Urban (town, city)",Male,Right,0,31,360
2.65,High school,Suburban,Male,Right,4,14,446
2.75,High school,Rural (country side),Male,Right,2,14,232
3.15,High school,Suburban,Male,Both,1,18,131
1.9,High school,Suburban,Male,Right,1,17,166
2.3,High school,Suburban,Male,Right,3,45,525
1.5,University degree,Rural (country side),Male,Right,1,23,165
1.45,Graduate degree,Rural (country side),Male,Right,2,30,203
1.25,High school,"Urban (town, city)",Female,Right,4,32,115
1.4,University degree,Rural (country side),Male,Right,4,28,234
2.25,Less than high school,"Urban (town, city)",Female,Right,1,14,238
2.25,High school,"Urban (town, city)",Female,Right,3,46,203
3.55,High school,Rural (country side),Female,Right,2,43,357
2.4,Graduate degree,Rural (country side),Female,Right,3,62,256
5.7,High school,"Urban (town, city)",Male,Right,3,18,187
4.1,University degree,Rural (country side),Male,Right,0,28,189
4.6,University degree,"Urban (town, city)",Female,Right,2,20,207
2.1,University degree,"Urban (town, city)",Male,Right,1,23,198
4.85,Less than high school,Suburban,Male,Right,3,16,302
1.55,Graduate degree,Rural (country side),Male,Right,2,27,272
3.05,Graduate degree,Suburban,Female,Right,2,46,308
2.8,Graduate degree,"Urban (town, city)",Male,Right,4,24,199
3.05,Less than high school,"Urban (town, city)",Female,Right,2,14,280
4.55,Graduate degree,"Urban (town, city)",Male,Right,2,39,497
4.55,Less than high school,"Urban (town, city)",Male,Right,2,13,300
5.6,High school,Suburban,Female,Right,2,18,150
8.9,High school,Suburban,Female,Right,4,28,276
1.85,University degree,"Urban (town, city)",Male,Right,1,30,266
2.95,Graduate degree,Suburban,Male,Right,2,25,251
2.55,High school,Suburban,Male,Left,3,23,256
3.6,High school,Suburban,Female,Both,3,16,203
3.4,University degree,Suburban,Male,Right,1,26,119
3.4,High school,Rural (country side),Male,Right,1,33,354
1.05,University degree,Suburban,Male,Right,6,57,150
6.25,Less than high school,Suburban,Male,Left,3,17,296
1.95,Graduate degree,Suburban,Male,Right,2,29,593
1.25,Less than high school,Suburban,Other,Right,3,17,372
2.6,High school,Suburban,Male,Right,2,20,351
1.45,Less than high school,Suburban,Female,Right,2,15,140
1.55,High school,Suburban,Male,Right,3,21,251
3.8,High school,Rural (country side),Male,Right,1,52,388
3.45,University degree,Suburban,Female,Right,2,27,397
1,High school,"Urban (town, city)",Female,Right,3,18,117
1.1,High school,Suburban,Male,Right,3,14,138
5.2,Graduate degree,"Urban (town, city)",Male,Right,2,24,711
2.25,University degree,"Urban (town, city)",Female,Right,2,39,148
4,High school,Suburban,Male,Both,2,16,207
2.35,High school,Suburban,Female,Right,1,43,292
1.05,University degree,"Urban (town, city)",Female,Right,2,30,149
1,Graduate degree,Rural (country side),Female,Right,6,25,339
2.05,High school,Suburban,Male,Right,2,17,102
3.3,High school,"Urban (town, city)",Female,Right,3,51,374
1.7,High school,"Urban (town, city)",Female,Right,1,36,243
3.4,High school,"Urban (town, city)",Male,Right,3,25,113
1.85,Less than high school,Suburban,Female,Left,2,16,203
6.7,High school,"Urban (town, city)",Male,Right,4,21,295
1.55,Graduate degree,Suburban,Female,Left,2,44,181
4.7,High school,Suburban,Male,Right,3,16,152
2.4,Graduate degree,Rural (country side),Other,Right,3,50,233
5.7,University degree,Rural (country side),Female,Right,3,28,182
1,Less than high school,Rural (country side),Other,Right,1,15,126
1,Less than high school,Suburban,Female,Right,3,16,261
1.2,High school,Rural (country side),Male,Left,1,45,153
2.2,High school,"Urban (town, city)",Female,Right,3,16,305
1.5,High school,"Urban (town, city)",Female,Right,1,18,177
1.8,High school,Suburban,Male,Right,2,21,228
1.4,University degree,Rural (country side),Female,Right,3,19,281
2.1,High school,"Urban (town, city)",Female,Right,2,18,164
3.1,High school,Rural (country side),Female,Left,3,19,252
5.85,High school,"Urban (town, city)",Male,Right,4,24,286
1.95,High school,"Urban (town, city)",Male,Right,2,15,357
4.95,Less than high school,Rural (country side),Male,Right,3,15,258
2.7,High school,Rural (country side),Female,Right,5,73,381
2.75,Less than high school,Suburban,Male,Right,2,17,164
2.1,High school,"Urban (town, city)",Male,Right,2,17,475
2.25,University degree,Rural (country side),Male,Right,2,27,183
2.55,Less than high school,"Urban (town, city)",Female,Right,3,18,138
1.95,University degree,Suburban,Female,Right,1,29,219
9,Graduate degree,"Urban (town, city)",Male,Right,1,28,146
6.05,University degree,Suburban,Male,Right,2,22,158
1,University degree,Suburban,Male,Right,3,20,121
6,High school,Suburban,Male,Right,2,18,1029
2.45,Less than high school,Suburban,Female,Right,3,16,113
2,High school,Suburban,Male,Right,1,19,100
1.55,High school,"Urban (town, city)",Male,Right,2,26,266
3.4,Less than high school,Suburban,Male,Right,2,17,6384
3.4,Less than high school,"Urban (town, city)",Female,Right,2,29,381
2.35,University degree,Suburban,Male,Right,1,22,250
1.2,University degree,Suburban,Female,Left,2,28,124
8.45,Less than high school,"Urban (town, city)",Male,Right,2,15,131
2.6,University degree,Suburban,Female,Left,2,50,1203
6.15,University degree,"Urban (town, city)",Male,Right,2,29,333
3.05,High school,Suburban,Male,Right,4,18,238
2.75,University degree,"Urban (town, city)",Male,Right,1,19,260
4.15,High school,"Urban (town, city)",Female,Right,4,47,188
1.2,High school,Rural (country side),Other,Right,2,18,93
2.2,High school,Suburban,Male,Right,7,47,629
8.2,High school,Suburban,Male,Right,3,17,134
1.45,High school,"Urban (town, city)",Male,Right,1,19,331
7.2,University degree,Rural (country side),Male,Right,2,21,252
9,High school,Suburban,Male,Right,1,16,164
7.35,High school,"Urban (town, city)",Male,Right,1,24,285
1.8,Graduate degree,"Urban (town, city)",Female,Left,2,29,124
7.8,Graduate degree,"Urban (town, city)",Male,Right,3,25,255
6.9,University degree,Rural (country side),Female,Right,3,30,199
3.35,Graduate degree,Rural (country side),Male,Right,3,43,367
2.25,High school,"Urban (town, city)",Male,Right,2,19,265
1,University degree,"Urban (town, city)",Male,Right,0,21,219
2.3,Less than high school,Suburban,Female,Right,2,28,177
7.2,Less than high school,Rural (country side),Male,Right,1,24,190
7.45,High school,"Urban (town, city)",Male,Right,1,19,190
1.65,Graduate degree,Suburban,Female,Both,2,40,125
2.3,University degree,Rural (country side),Male,Right,2,37,283
1.7,University degree,"Urban (town, city)",Male,Right,2,26,161
5.7,Less than high school,Suburban,Male,Right,5,20,272
2.05,High school,Rural (country side),Male,Right,2,31,116
1.4,Graduate degree,"Urban (town, city)",Male,Right,2,35,136
1.25,University degree,Suburban,Female,Right,2,24,267
1.4,High school,Suburban,Male,Right,1,21,161
1.1,University degree,Suburban,Male,Right,3,32,133
2.25,High school,Suburban,Male,Right,3,45,177
2.8,Less than high school,"Urban (town, city)",Male,Right,2,14,131
2.15,University degree,Suburban,Male,Right,3,24,189
2.75,University degree,Suburban,Male,Right,2,48,197
1.2,Graduate degree,Suburban,Male,Right,1,25,120
3.3,Graduate degree,"Urban (town, city)",Male,Right,1,33,216
1.15,University degree,Suburban,Male,Right,2,44,175
1.75,University degree,Suburban,Male,Right,2,26,1538
1.4,Graduate degree,Suburban,Male,Right,1,44,188
1.9,University degree,Suburban,Male,Right,2,33,164
2.75,University degree,Suburban,Male,Right,2,30,250
1.7,Graduate degree,Suburban,Male,Right,3,23,234
1.85,University degree,Suburban,Male,Right,3,28,318
2.8,High school,Rural (country side),Male,Right,4,29,401
1.7,High school,"Urban (town, city)",Male,Right,3,48,216
2.4,High school,"Urban (town, city)",Male,Right,3,33,344
2.6,University degree,Suburban,Male,Left,3,33,359
2.05,Graduate degree,"Urban (town, city)",Male,Right,2,27,172
3.7,Graduate degree,"Urban (town, city)",Male,Left,1,26,293
1.3,University degree,Rural (country side),Male,Right,2,24,170
2.8,High school,Suburban,Male,Right,3,23,228
2.4,University degree,Suburban,Male,Left,13,42,216
1.9,University degree,Suburban,Male,Right,2,29,154
1.75,University degree,Suburban,Male,Right,2,26,288
2.05,University degree,"Urban (town, city)",Male,Right,2,25,152
1.55,Graduate degree,"Urban (town, city)",Male,Right,2,29,191
2.5,Graduate degree,Suburban,Male,Right,2,27,128
1.35,University degree,"Urban (town, city)",Male,Right,3,20,244
1.45,High school,Rural (country side),Male,Right,1,18,324
2.35,University degree,"Urban (town, city)",Male,Right,1,24,218
1.9,High school,Rural (country side),Male,Right,2,20,330
2.1,High school,"Urban (town, city)",Male,Right,2,29,686
2.2,High school,Rural (country side),Male,Left,3,27,310
2.2,University degree,Rural (country side),Male,Right,1,34,95
2.95,University degree,Suburban,Male,Right,1,33,169
2.35,High school,Suburban,Female,Right,1,33,5749
3.7,High school,"Urban (town, city)",Male,Right,4,21,397
1.35,High school,Suburban,Male,Right,2,41,111
1.95,University degree,"Urban (town, city)",Male,Right,2,39,202
1.35,High school,Rural (country side),Male,Right,2,20,114
1.3,High school,"Urban (town, city)",Male,Left,4,45,109
1.1,University degree,Suburban,Male,Right,2,25,205
1.5,University degree,Rural (country side),Male,Right,3,35,239
1,University degree,"Urban (town, city)",Male,Right,1,27,134
3.75,Graduate degree,Rural (country side),Male,Right,3,23,197
2.05,Less than high school,Rural (country side),Male,Right,2,18,173
1.15,University degree,Suburban,Female,Right,2,39,124
1.7,Graduate degree,Suburban,Female,Right,2,27,274
2.05,University degree,Suburban,Male,Right,3,28,296
1.35,Graduate degree,Rural (country side),Female,Right,2,32,205
1.55,University degree,Suburban,Male,Left,3,23,194
1.85,High school,Suburban,Female,Right,1,22,146
2.25,University degree,Suburban,Male,Right,2,24,217
1.85,Graduate degree,Suburban,Male,Right,2,36,135
1.9,University degree,Suburban,Male,Right,2,34,184
2.85,Less than high school,Suburban,Female,Right,1,24,264
1,University degree,Suburban,Male,Right,2,27,84
1.95,Graduate degree,Rural (country side),Male,Right,3,27,174
1.35,University degree,Rural (country side),Male,Left,2,35,111
1.45,High school,Rural (country side),Male,Right,2,19,392
2.45,High school,"Urban (town, city)",Male,Right,2,24,345
1.6,University degree,Suburban,Male,Right,2,21,154
2.5,University degree,Suburban,Male,Right,3,27,234
1.75,University degree,Rural (country side),Male,Right,3,29,184
2.95,University degree,Suburban,Male,Right,3,31,256
1.05,University degree,Suburban,Male,Right,3,26,468
1.6,University degree,Suburban,Female,Right,2,21,189
2.8,High school,Rural (country side),Male,Right,2,18,264
1.6,University degree,Rural (country side),Male,Right,3,26,199
2,High school,"Urban (town, city)",Male,Right,2,40,148
3.2,University degree,"Urban (town, city)",Female,Right,2,24,129
1.85,High school,Suburban,Male,Right,5,24,516
3.25,Graduate degree,Rural (country side),Male,Right,1,24,357
1.9,High school,Suburban,Male,Right,2,23,191
1.4,High school,Suburban,Male,Right,2,28,170
1.65,University degree,Suburban,Male,Right,4,21,301
2.9,High school,Rural (country side),Male,Left,3,20,158
1.5,High school,Suburban,Male,Right,2,26,135
2.7,High school,Suburban,Male,Right,2,31,181
1.35,University degree,Rural (country side),Male,Right,2,25,169
1.5,University degree,Suburban,Male,Left,3,22,295
1.55,High school,"Urban (town, city)",Male,Right,2,29,354
1.5,High school,Rural (country side),Female,Right,2,47,310
1.65,Graduate degree,Suburban,Male,Right,2,34,127
2.9,University degree,"Urban (town, city)",Male,Right,2,41,226
1.65,University degree,Rural (country side),Male,Left,2,24,246
1.75,University degree,Suburban,Male,Right,3,36,190
1.4,Graduate degree,Suburban,Male,Right,0,28,388
2.35,High school,Suburban,Male,Right,2,27,304
1.6,University degree,Suburban,Male,Right,3,24,136
2.5,University degree,Suburban,Male,Left,3,32,301
1.85,High school,"Urban (town, city)",Male,Left,4,36,180
1.3,High school,Suburban,Male,Right,1,24,139
2.15,High school,Suburban,Male,Right,2,22,229
1.45,University degree,Rural (country side),Female,Right,4,29,184
2.2,Less than high school,Rural (country side),Female,Right,2,20,194
1.95,University degree,Suburban,Female,Right,3,31,217
1.55,University degree,Rural (country side),Female,Left,4,32,99
1.55,High school,Rural (country side),Male,Left,3,27,358
2.85,Less than high school,Suburban,Male,Right,1,15,171
1.7,High school,Rural (country side),Female,Right,2,29,318
1.35,Graduate degree,Suburban,Male,Right,2,26,108
1.25,Graduate degree,Suburban,Female,Right,2,32,159
2.95,University degree,Rural (country side),Male,Right,2,24,158
1.3,University degree,Rural (country side),Female,Right,4,26,185
1.65,University degree,"Urban (town, city)",Male,Right,3,25,6675
1.2,Graduate degree,"Urban (town, city)",Male,Right,4,31,126
1.4,University degree,Rural (country side),Male,Right,3,44,140
1.25,Graduate degree,Suburban,Male,Left,2,26,288
2.6,High school,Suburban,Male,Right,2,22,199
2.55,University degree,Suburban,Male,Left,4,23,143
1.1,University degree,"Urban (town, city)",Male,Right,1,30,123
3.1,University degree,Suburban,Female,Right,1,24,189
1.8,High school,Rural (country side),Male,Right,2,27,433
1.25,University degree,Rural (country side),Male,Right,3,54,182
1.25,University degree,Suburban,Male,Right,2,26,135
3.15,University degree,Suburban,Male,Right,1,27,529
2.1,High school,"Urban (town, city)",Male,Right,2,22,221
1.6,High school,Suburban,Male,Right,2,37,136
2.5,High school,Suburban,Male,Left,4,20,107
3.1,Less than high school,"Urban (town, city)",Male,Right,1,15,740
2.3,High school,Suburban,Male,Right,2,20,256
2.85,University degree,Suburban,Male,Right,2,25,128
4.85,High school,Suburban,Male,Right,3,19,289
2.05,University degree,Rural (country side),Male,Right,4,40,186
1.15,University degree,Suburban,Male,Right,3,32,146
4.2,Graduate degree,"Urban (town, city)",Male,Right,2,49,225
1.85,High school,Suburban,Male,Right,4,35,372
1.55,University degree,Suburban,Male,Right,2,26,182
1.65,High school,Rural (country side),Male,Right,3,21,116
1.85,High school,Suburban,Male,Right,2,23,175
1.45,Graduate degree,Rural (country side),Male,Left,2,31,140
1.3,High school,Rural (country side),Male,Left,1,33,277
1.1,University degree,Suburban,Male,Right,3,26,149
1.5,University degree,Suburban,Female,Right,2,30,178
2.15,High school,Suburban,Male,Left,3,21,133
1.8,High school,"Urban (town, city)",Female,Left,4,36,276
2.2,University degree,Suburban,Male,Right,1,36,186
1.3,High school,Rural (country side),Male,Right,3,20,192
2,High school,Suburban,Male,Right,1,43,173
1,University degree,"Urban (town, city)",Male,Right,3,34,177
2.25,Less than high school,Suburban,Male,Right,2,17,146
1.05,High school,"Urban (town, city)",Male,Right,4,25,127
1,High school,Suburban,Male,Left,3,20,171
1.05,Graduate degree,Suburban,Male,Right,1,28,183
1.25,University degree,Suburban,Male,Right,3,24,172
1.6,High school,Rural (country side),Male,Right,2,21,158
1.95,High school,Rural (country side),Male,Right,4,19,169
2.95,Graduate degree,Suburban,Male,Both,4,29,223
1.55,University degree,Rural (country side),Male,Right,2,31,149
1,University degree,Suburban,Male,Right,2,27,115
1.5,High school,Suburban,Male,Right,4,29,173
1.6,University degree,Suburban,Male,Right,2,25,126
1.55,University degree,"Urban (town, city)",Female,Right,2,21,143
2.8,University degree,Rural (country side),Male,Right,2,27,393
1,High school,Suburban,Male,Left,1,30,106
1,University degree,Suburban,Female,Right,3,30,111
1.2,Less than high school,"Urban (town, city)",Male,Left,1,35,145
1.85,University degree,Suburban,Male,Right,3,23,157
1.4,High school,Rural (country side),Male,Right,2,20,152
2.4,High school,"Urban (town, city)",Male,Both,4,21,235
1.05,Less than high school,Rural (country side),Male,Right,1,24,252
1.8,University degree,Suburban,Male,Right,2,25,154
2.8,University degree,"Urban (town, city)",Male,Right,3,29,288
1.45,University degree,Suburban,Female,Right,3,47,136
1.3,High school,Rural (country side),Male,Right,2,20,330
1.2,Graduate degree,Suburban,Male,Right,2,33,115
1.5,University degree,Rural (country side),Male,Left,2,27,282
3.6,High school,"Urban (town, city)",Female,Right,2,20,975
1.9,Graduate degree,"Urban (town, city)",Male,Right,3,38,212
6.5,Graduate degree,Rural (country side),Male,Right,2,23,110
1.05,High school,"Urban (town, city)",Male,Right,3,27,130
1.75,University degree,Rural (country side),Female,Right,1,22,255
2.7,High school,Rural (country side),Male,Right,2,18,270
2.7,Graduate degree,Rural (country side),Male,Right,3,42,209
1.6,University degree,Suburban,Male,Right,2,24,185
1,High school,Suburban,Male,Right,1,30,227
1.6,University degree,Rural (country side),Female,Right,1,39,192
1.2,University degree,Rural (country side),Male,Right,3,33,184
1.5,Less than high school,Suburban,Other,Right,2,25,167
1.65,High school,Suburban,Male,Right,5,28,263
2.05,High school,Rural (country side),Male,Right,4,56,150
1.4,Graduate degree,Suburban,Female,Left,3,27,246
2.8,University degree,Rural (country side),Male,Right,3,38,208
1.1,University degree,Suburban,Male,Right,3,20,101
3.5,University degree,Suburban,Female,Right,3,22,121
2.65,Less than high school,Rural (country side),Male,Right,3,28,215
1.9,University degree,Suburban,Female,Right,2,34,183
1.8,High school,"Urban (town, city)",Female,Right,1,21,517
1.7,High school,Suburban,Male,Right,1,23,246
1.35,High school,Suburban,Male,Right,4,22,171
3.05,Less than high school,Suburban,Male,Right,3,45,332
2.5,University degree,Rural (country side),Male,Right,1,23,355
1.1,University degree,Suburban,Female,Left,1,37,120
2.75,High school,"Urban (town, city)",Male,Left,3,25,186
2.05,University degree,Rural (country side),Male,Right,2,37,245
1.6,High school,"Urban (town, city)",Male,Right,1,21,100
3.1,University degree,Suburban,Male,Right,2,39,197
1.6,University degree,Rural (country side),Female,Right,2,34,709
2.8,University degree,Suburban,Male,Right,1,26,190
1.65,Graduate degree,"Urban (town, city)",Male,Right,4,35,170
1,High school,Suburban,Female,Right,2,19,141
1.7,University degree,"Urban (town, city)",Male,Right,2,29,136
1.65,High school,Suburban,Male,Right,4,21,245
1.95,High school,Suburban,Male,Both,5,17,366
2.3,High school,Rural (country side),Male,Both,4,20,144
1.2,High school,Suburban,Male,Right,3,19,211
1.4,High school,Rural (country side),Male,Left,2,18,193
1.35,Less than high school,"Urban (town, city)",Male,Right,1,16,332
1.75,University degree,Suburban,Male,Right,2,24,95
2.15,High school,"Urban (town, city)",Male,Right,2,15,213
4.3,University degree,Suburban,Female,Right,2,24,173
1.1,University degree,Suburban,Female,Right,2,31,126
1.3,Less than high school,Suburban,Female,Right,8,26,252
2.6,University degree,Rural (country side),Male,Right,3,24,227
6.95,High school,Suburban,Male,Both,8,48,264
2.7,High school,"Urban (town, city)",Female,Right,1,39,162
5.1,High school,Rural (country side),Male,Right,4,68,294
3.25,University degree,Suburban,Male,Right,2,18,153
1.95,High school,Rural (country side),Male,Right,5,20,185
5.8,Graduate degree,Suburban,Male,Left,4,22,160
1,Less than high school,Suburban,Female,Right,1,15,172
1.7,High school,"Urban (town, city)",Male,Right,2,17,233
3.2,High school,Rural (country side),Male,Right,3,16,809
1.55,High school,Suburban,Male,Right,2,18,236
3.55,Less than high school,"Urban (town, city)",Male,Right,2,16,3393
6.25,High school,"Urban (town, city)",Female,Right,4,18,169
1.3,Graduate degree,Suburban,Male,Right,2,27,135
1.35,High school,"Urban (town, city)",Male,Right,2,32,181
3.85,Less than high school,Rural (country side),Male,Right,2,18,260
1,University degree,Rural (country side),Male,Right,2,25,218
2.4,Graduate degree,"Urban (town, city)",Female,Right,1,22,351
2.4,High school,Suburban,Female,Right,1,62,337
1.25,Less than high school,Suburban,Female,Right,1,13,125
2.75,High school,Suburban,Male,Left,8,18,414
1,University degree,Rural (country side),Female,Right,2,28,167
3.25,High school,"Urban (town, city)",Male,Right,2,24,281
3.4,High school,Suburban,Male,Right,1,16,157
2.9,High school,Suburban,Female,Right,2,15,360
1.8,Less than high school,"Urban (town, city)",Female,Right,1,16,393
1.55,High school,Suburban,Female,Right,2,33,252
2.85,University degree,Rural (country side),Male,Right,2,20,166
6,Graduate degree,"Urban (town, city)",Male,Right,2,58,214
5.35,High school,Suburban,Male,Right,7,19,333
1.35,High school,Rural (country side),Female,Right,5,41,217
1.15,High school,Suburban,Male,Right,2,21,171
5.5,Graduate degree,Rural (country side),Male,Right,2,28,246
5.7,High school,"Urban (town, city)",Male,Right,2,15,262
1.9,High school,Rural (country side),Male,Right,3,18,115
4.25,Graduate degree,"Urban (town, city)",Male,Right,4,50,187
1,University degree,"Urban (town, city)",Female,Right,1,29,146
1.6,High school,Suburban,Female,Right,3,18,243
5.1,High school,Suburban,Male,Right,3,19,224
1.5,High school,Suburban,Female,Both,2,33,182
3.35,University degree,Suburban,Male,Left,2,22,135
7.6,Less than high school,Rural (country side),Male,Right,3,15,227
